Driver,Fastest Lap Time,Average Lap Time,STD Lap Time,Sector 1 Average,Sector 2 Average,Sector 3 Average,Qualifying Position,Finish Position
PIA,95.14,99.52437499999999,9.115784539472687,32.57201785714286,43.34950877192983,24.769701754385967,1.0,1.0
RUS,95.518,99.94875,8.923822689956683,33.351972222222216,44.321378378378384,25.46075675675676,2.0,2.0
NOR,95.728,99.98400000000001,9.014219980516497,32.59780357142857,43.42326315789473,24.932298245614035,6.0,3.0
LEC,96.132,100.01864285714285,8.875376322863668,32.59864285714286,43.45656140350877,24.954982456140353,3.0,4.0
HAM,96.235,100.27203571428572,8.20468312691052,32.43617857142857,43.63970175438596,25.04728070175439,9.0,5.0
VER,96.167,101.29526315789474,8.927358296764956,32.387767857142855,43.7528947368421,25.09964912280702,7.0,6.0
GAS,96.531,101.32345614035087,9.120051094559427,32.594321428571426,43.60956140350877,25.078105263157898,5.0,7.0
OCO,97.098,101.46805263157894,8.867725946000487,32.408321428571426,43.920210526315785,25.058035087719297,14.0,8.0
TSU,97.225,100.58903571428571,6.890122829519611,32.41092857142858,43.874982456140344,25.125736842105265,10.0,9.0
BEA,97.303,101.5268245614035,9.321105502770726,32.357285714285716,44.02275438596492,25.056333333333335,20.0,10.0
ANT,96.69,100.64744642857143,7.005635901899787,32.64476785714286,43.98733333333334,24.8619649122807,4.0,11.0
ALB,97.141,100.66335714285715,6.871571491682678,32.400124999999996,44.037368421052626,25.029964912280704,15.0,12.0
HAD,96.952,101.67980701754387,8.018416073712986,32.69435714285714,44.03261403508772,24.872473684210526,12.0,16.0
DOO,96.682,101.61826315789473,8.504109352431703,32.67935714285714,43.76405263157894,25.10419298245614,11.0,14.0
ALO,97.906,100.85835714285714,6.229774498408462,32.632625000000004,44.02756140350877,25.01777192982456,13.0,17.0
LAW,97.38,100.65635714285713,5.950955872884658,32.588232142857144,43.92987719298245,24.94873684210526,17.0,13.0
STR,98.064,100.93399999999998,5.717520969416229,32.61,44.088789473684216,25.042736842105263,19.0,18.0
BOR,98.006,100.97157142857142,5.7437123568085395,32.53848214285715,44.04882456140351,25.181035087719298,18.0,19.0
SAI,96.954,102.38295454545455,8.720859009384926,33.65461363636364,44.337888888888884,25.448866666666667,8.0,20.0
HUL,97.338,101.62994736842106,7.803900229161287,32.63925,43.97533333333334,24.91670175438596,16.0,15.0
