Driver,Fastest Lap Time,Average Lap Time,STD Lap Time,Sector 1 Average,Sector 2 Average,Sector 3 Average,Qualifying Position,Finish Position
PIA,92.228,94.32264583333331,5.163582217033634,35.84551020408163,30.03194,31.44368,2.0,1.0
VER,92.28,94.35722916666667,5.351751050044209,35.76567346938775,30.11038,31.51718,1.0,2.0
LEC,92.192,94.54710416666667,5.522519972197109,35.844530612244895,30.141659999999998,31.4711,4.0,3.0
NOR,91.778,94.71422916666667,6.572161606096529,35.839183673469385,30.0915,31.492499999999996,10.0,4.0
RUS,92.893,94.93283333333333,5.305369313775954,36.17110204081633,30.074060000000003,31.6125,3.0,5.0
ANT,92.396,95.12464583333333,5.6846880209382915,36.26763265306123,30.152100000000004,31.56476,5.0,6.0
HAM,92.6,95.27227083333334,6.084157144240766,36.12979591836734,30.193619999999996,31.738120000000002,7.0,7.0
SAI,92.466,95.82191666666667,6.334704843273197,36.6454693877551,30.3092,31.6126,6.0,8.0
ALB,93.477,95.92666666666668,6.683218119331101,36.722469387755105,30.302660000000007,31.554479999999998,11.0,9.0
HAD,93.257,96.00102083333331,7.0092754157425325,36.547224489795916,30.375400000000003,31.65172,14.0,10.0
ALO,93.009,96.13520833333331,6.722036013361616,36.50183673469388,30.421599999999994,31.835700000000003,13.0,12.0
LAW,92.998,96.06504166666667,7.367023409419206,36.48675510204082,30.54694,31.558159999999997,12.0,11.0
BEA,93.238,96.30537500000001,7.53981639261693,36.60797959183673,30.68156,31.51304,15.0,13.0
OCO,94.309,96.80141666666667,7.7535924035070485,36.59514285714286,30.9521,31.63748,19.0,14.0
HUL,93.446,96.80902127659576,7.792047280999683,36.84041666666667,30.80571428571429,31.632285714285718,18.0,15.0
STR,92.745,96.80714893617021,7.640118663383701,36.70079166666667,30.69618367346939,31.916816326530615,16.0,16.0
DOO,93.15,97.13621276595745,8.078661280335389,36.986604166666666,30.833408163265307,31.773285714285716,17.0,17.0
BOR,94.447,97.15089361702128,7.850769709476634,36.6690625,31.083836734693875,31.805551020408164,20.0,18.0
TSU,165.662,165.662,0.0,,33.152,37.433,8.0,19.0
