Driver,Fastest Lap Time,Average Lap Time,STD Lap Time,Sector 1 Average,Sector 2 Average,Sector 3 Average,Qualifying Position,Finish Position
RUS,95.676,97.13495161290321,2.460943468615889,28.87452459016393,40.89737096774193,27.310612903225802,1.0,1.0
VER,95.649,97.22253225806452,2.532885143899191,28.937147540983606,40.91245161290322,27.30540322580645,2.0,2.0
NOR,95.555,97.23279032258066,2.4373738917723404,28.891704918032787,40.92448387096774,27.34177419354839,5.0,3.0
PIA,95.408,97.26633870967741,2.985295840656919,28.987442622950827,40.860145161290326,27.339612903225806,3.0,4.0
ANT,95.303,97.6781935483871,2.7851609198816134,28.950786885245904,41.14075806451613,27.494048387096775,4.0,5.0
LEC,95.983,97.87682258064515,2.777382519940448,29.050901639344268,41.17306451612904,27.57282258064516,7.0,6.0
ALO,95.862,98.43603225806451,3.745226738335085,29.302950819672134,41.54838709677419,27.49241935483871,10.0,8.0
HAM,93.808,98.42932258064515,5.394593897161914,29.469606557377052,41.279016129032264,27.5928064516129,6.0,7.0
BEA,96.201,98.64345161290323,2.872621544509696,29.18319672131147,41.70791935483871,27.642870967741935,9.0,9.0
SAI,94.963,98.90362295081967,3.3294858913136833,29.24025,41.80629508196722,27.716213114754098,20.0,10.0
HAD,96.938,99.01150819672131,2.889310046536158,29.40028333333333,41.714557377049175,27.798704918032783,8.0,11.0
TSU,96.831,99.04321311475412,3.4449734782807133,29.223750000000003,41.86291803278689,27.829754098360652,13.0,12.0
STR,95.851,99.12880327868851,3.1057937282781998,29.334366666666664,41.80734426229509,27.861065573770492,15.0,13.0
ALB,95.648,99.14240983606558,3.711660219650064,29.25015,41.91842622950819,27.804737704918036,19.0,14.0
LAW,95.641,99.17232786885243,3.108642884125903,29.332633333333334,41.80860655737705,27.913688524590167,12.0,15.0
COL,97.182,99.4304426229508,2.900595492984327,29.370250000000002,42.13196721311475,27.806016393442622,16.0,16.0
BOR,97.126,99.49377049180328,3.9068332796773957,29.49113333333333,42.04965573770492,27.82847540983607,14.0,17.0
OCO,96.646,99.5,3.1676508645998225,29.31136666666666,42.16693442622951,27.887868852459018,17.0,18.0
GAS,94.573,99.50537704918034,4.031872729922528,29.586333333333336,41.92022950819672,27.847409836065573,18.0,19.0
HUL,95.404,99.53126229508197,5.202143829519188,29.61143333333333,42.01268852459016,27.799163934426225,11.0,20.0
