Driver,Fastest Lap Time,Average Lap Time,STD Lap Time,Sector 1 Average,Sector 2 Average,Sector 3 Average,Qualifying Position,Finish Position
PIA,75.743,84.50568181818181,14.000032245806038,25.47983076923077,33.56378787878788,25.443409090909093,1.0,1.0
NOR,76.187,84.54312121212122,13.705021176191341,25.42201538461539,33.6385909090909,25.446757575757573,2.0,2.0
LEC,77.259,84.6640909090909,12.22796573771143,25.478784615384612,33.608666666666664,25.527530303030304,7.0,3.0
RUS,77.244,84.67778787878788,11.9261197727422,25.44361538461538,33.77784848484849,25.409954545454546,4.0,4.0
HUL,77.575,84.71246969696969,9.019661031761094,25.44586153846154,33.63518181818182,25.561560606060606,16.0,6.0
HAM,77.706,84.74065151515151,11.589228553681535,25.537830769230766,33.61390909090909,25.549636363636363,5.0,7.0
HAD,77.77,84.7484393939394,9.778942974620128,25.57853846153846,33.530772727272726,25.582924242424244,9.0,8.0
GAS,77.896,84.7766212121212,8.803253253279053,25.4756,33.69028787878788,25.55639393939394,8.0,9.0
ALO,78.128,84.83240909090908,10.403224797202522,25.29390769230769,34.020681818181814,25.453590909090906,10.0,10.0
VER,77.019,84.68486363636364,13.566321081764436,25.634984615384614,33.5875,25.436166666666672,3.0,5.0
LAW,79.424,84.8925303030303,10.22730889426826,25.3566,34.03890909090909,25.423712121212123,13.0,11.0
BOR,78.297,84.89956060606062,9.447402692818079,25.150153846153845,34.064772727272725,25.614181818181816,12.0,12.0
TSU,77.998,84.94237878787878,10.194076791414071,25.588661538461544,33.76187878787879,25.44443939393939,20.0,14.0
SAI,79.317,84.94975757575757,10.587519100280586,25.527861538461536,34.03466666666667,25.298969696969692,18.0,15.0
COL,78.353,84.98115151515151,8.31096633742982,25.490676923076926,33.88407575757576,25.51430303030303,19.0,16.0
OCO,78.624,84.99351515151514,9.627154334646544,25.274784615384615,34.085060606060615,25.544984848484848,17.0,17.0
BEA,78.907,84.91575757575758,10.033554858211803,25.43609230769231,33.999560606060605,25.399060606060605,15.0,13.0
ANT,78.255,82.0741886792453,3.852334896277761,24.71651923076923,32.74052830188679,24.536924528301885,6.0,7.0
ALB,80.508,85.30177777777779,8.922213561639632,26.56715384615384,33.45448148148149,25.133407407407407,11.0,19.0
